TXNAME	GENEID_0	chrom_I_337_1154
_1	chrom_I_1150_1415
_7705	chrom_IV_1237963_1239209
_7706	chrom_IV_1239205_1239261
_7707	chrom_IV_1239257_1239408
_7708	chrom_IV_1239404_1240272
_7709	chrom_IV_1240268_1241387
_7710	chrom_IV_1241383_1241510
_7711	chrom_IV_1241506_1241565
_7712	chrom_IV_1241561_1241875
_7713	chrom_IV_1241871_1242962
_7714	chrom_IV_1242958_1243318
_7715	chrom_IV_1243314_1243530
_7716	chrom_IV_1243526_1243539
_7717	chrom_IV_1243535_1244350
_7718	chrom_IV_1244346_1244611
_7719	chrom_IV_1244607_1244776
_7720	chrom_IV_1244772_1244898
_7721	chrom_IV_1244894_1245129
_7722	chrom_IV_1245125_1245278
_7723	chrom_IV_1245274_1245394
_7724	chrom_IV_1245390_1245402
_7725	chrom_IV_1245398_1245996
_7726	chrom_IV_1245992_1246241
_7727	chrom_IV_1246237_1246497
_7728	chrom_IV_1246493_1247033
_7729	chrom_IV_1247029_1247150
_7730	chrom_IV_1247146_1247177
_7731	chrom_IV_1247173_1247591
_7732	chrom_IV_1247587_1247738
_7733	chrom_IV_1247734_1248405
_7734	chrom_IV_1248401_1249391
_7735	chrom_IV_1249387_1249548
_7736	chrom_IV_1249544_1249612
_7737	chrom_IV_1249608_1249789
_7738	chrom_IV_1249785_1250274
_7739	chrom_IV_1250270_1250547
_7740	chrom_IV_1250543_1251132
_7741	chrom_IV_1251128_1252171
_7742	chrom_IV_1252167_1252179
_7743	chrom_IV_1252175_1252312
_7744	chrom_IV_1252308_1252674
_7745	chrom_IV_1252670_1253253
_7746	chrom_IV_1253249_1253807
_7747	chrom_IV_1253803_1253827
_7748	chrom_IV_1253823_1254176
_7749	chrom_IV_1254172_1254258
_7750	chrom_IV_1254254_1254313
_7751	chrom_IV_1254309_1254344
_7752	chrom_IV_1254340_1254438
_7753	chrom_IV_1254434_1254850
_7754	chrom_IV_1254846_1254856
_7755	chrom_IV_1254852_1255052
_7756	chrom_IV_1255048_1255073
_7757	chrom_IV_1255069_1255289
_7758	chrom_IV_1255285_1255363
_7759	chrom_IV_1255359_1255894
_7760	chrom_IV_1255890_1256881
_7761	chrom_IV_1256877_1257090
_7762	chrom_IV_1257086_1257433
_7763	chrom_IV_1257429_1257809
_7764	chrom_IV_1257805_1258327
_7765	chrom_IV_1258323_1258597
_7766	chrom_IV_1258593_1258900
_7767	chrom_IV_1258896_1259840
_7768	chrom_IV_1259836_1260169
_7769	chrom_IV_1260165_1260884
_7770	chrom_IV_1260880_1261008
_7771	chrom_IV_1261004_1261994
_7772	chrom_IV_1261990_1262270
_7773	chrom_IV_1262266_1262549
_7774	chrom_IV_1262545_1262603
_7775	chrom_IV_1262599_1262839
_7776	chrom_IV_1262835_1262900
_7777	chrom_IV_1262896_1263533
_7778	chrom_IV_1263529_1263585
_7779	chrom_IV_1263581_1263896
_7780	chrom_IV_1263892_1264054
_7781	chrom_IV_1264050_1264315
_7782	chrom_IV_1264311_1265458
_7783	chrom_IV_1265454_1266396
_7784	chrom_IV_1266392_1266601
_7785	chrom_IV_1266597_1266670
_7786	chrom_IV_1266666_1266778
_7787	chrom_IV_1266774_1267143
_7788	chrom_IV_1267139_1267862
_7789	chrom_IV_1267858_1268246
_7790	chrom_IV_1268242_1268498
_7791	chrom_IV_1268494_1268504
_7792	chrom_IV_1268500_1268519
_7793	chrom_IV_1268515_1268819
_7794	chrom_IV_1268815_1269522
_7795	chrom_IV_1269518_1269549
_7796	chrom_IV_1269545_1270206
_7797	chrom_IV_1270202_1270369
_7798	chrom_IV_1270365_1271103
_7799	chrom_IV_1271099_1271601
_7800	chrom_IV_1271597_1271631
_7801	chrom_IV_1271627_1271829
_7802	chrom_IV_1271825_1271871
_7803	chrom_IV_1271867_1272036
_7804	chrom_IV_1272032_1272540
_7805	chrom_IV_1272536_1272720
_7806	chrom_IV_1272716_1272903
_7807	chrom_IV_1272899_1273204
_7808	chrom_IV_1273200_1273539
_7809	chrom_IV_1273535_1273557
_7810	chrom_IV_1273553_1274237
_7811	chrom_IV_1274233_1275173
_7812	chrom_IV_1275169_1275230
_7813	chrom_IV_1275226_1275578
_7814	chrom_IV_1275574_1275835
_7815	chrom_IV_1275831_1276395
_7816	chrom_IV_1276391_1277325
_7817	chrom_IV_1277321_1277455
_7818	chrom_IV_1277451_1277744
_7819	chrom_IV_1277740_1277800
_7820	chrom_IV_1277796_1277919
_7821	chrom_IV_1277915_1277998
_7822	chrom_IV_1277994_1278117
_7823	chrom_IV_1278113_1278430
_7824	chrom_IV_1278426_1278870
_7825	chrom_IV_1278866_1278968
_7826	chrom_IV_1278964_1279449
_7827	chrom_IV_1279445_1279541
_7828	chrom_IV_1279537_1279765
_7829	chrom_IV_1279761_1279885
_7830	chrom_IV_1279881_1280153
_7831	chrom_IV_1280149_1280366
_7832	chrom_IV_1280362_1281079
_7833	chrom_IV_1281075_1281376
_7834	chrom_IV_1281372_1281672
_7835	chrom_IV_1281668_1281679
_7836	chrom_IV_1281675_1281807
_7837	chrom_IV_1281803_1282089
_7838	chrom_IV_1282085_1282567
_7839	chrom_IV_1282563_1282860
_7840	chrom_IV_1282856_1283407
_7841	chrom_IV_1283403_1283443
_7842	chrom_IV_1283439_1284263
_7843	chrom_IV_1284259_1284471
_7844	chrom_IV_1284467_1285045
_7845	chrom_IV_1285041_1285270
_7846	chrom_IV_1285266_1285478
_7847	chrom_IV_1285474_1285604
_7848	chrom_IV_1285600_1285708
_7849	chrom_IV_1285704_1285992
_7850	chrom_IV_1285988_1286170
_7851	chrom_IV_1286166_1286185
_7852	chrom_IV_1286181_1286208
_7853	chrom_IV_1286204_1286980
_7854	chrom_IV_1286976_1287043
_7855	chrom_IV_1287039_1287191
_7856	chrom_IV_1287187_1287717
_7857	chrom_IV_1287713_1288117
_7858	chrom_IV_1288113_1288138
_7859	chrom_IV_1288134_1288535
_7860	chrom_IV_1288531_1288543
_7861	chrom_IV_1288539_1288622
_7862	chrom_IV_1288618_1288807
_7863	chrom_IV_1288803_1289641
_7864	chrom_IV_1289637_1289682
_7865	chrom_IV_1289678_1289716
_7866	chrom_IV_1289712_1290125
_7867	chrom_IV_1290121_1290348
_7868	chrom_IV_1290344_1290814
_7869	chrom_IV_1290810_1291078
_7870	chrom_IV_1291074_1291156
_7871	chrom_IV_1291152_1291252
_7872	chrom_IV_1291248_1291525
_7873	chrom_IV_1291521_1291535
_7874	chrom_IV_1291531_1291699
_7875	chrom_IV_1291695_1291774
_7876	chrom_IV_1291770_1292621
_7877	chrom_IV_1292617_1292771
_7878	chrom_IV_1292767_1293699
_7879	chrom_IV_1293695_1293784
_7880	chrom_IV_1293780_1293886
_7881	chrom_IV_1293882_1293907
_7882	chrom_IV_1293903_1294261
_7883	chrom_IV_1294257_1294273
_7884	chrom_IV_1294269_1294581
_7885	chrom_IV_1294577_1295837
_7886	chrom_IV_1295833_1295843
_7887	chrom_IV_1295839_1295963
_7888	chrom_IV_1295959_1295981
_7889	chrom_IV_1295977_1296120
_7890	chrom_IV_1296116_1296331
_7891	chrom_IV_1296327_1296586
_7892	chrom_IV_1296582_1297226
_7893	chrom_IV_1297222_1297358
_7894	chrom_IV_1297354_1297672
_7895	chrom_IV_1297668_1297718
_7896	chrom_IV_1297714_1297811
_7897	chrom_IV_1297807_1298880
_7898	chrom_IV_1298876_1299350
_7899	chrom_IV_1299346_1299453
_7900	chrom_IV_1299449_1299741
_7901	chrom_IV_1299737_1299811
_7902	chrom_IV_1299807_1299882
_7903	chrom_IV_1299878_1300181
_7904	chrom_IV_1300177_1301276
_7905	chrom_IV_1301272_1301635
_7906	chrom_IV_1301631_1301712
_7907	chrom_IV_1301708_1302935
_7908	chrom_IV_1302931_1303322
_7909	chrom_IV_1303318_1303444
_7910	chrom_IV_1303440_1303503
_7911	chrom_IV_1303499_1303517
_7912	chrom_IV_1303513_1303544
_7913	chrom_IV_1303540_1303616
_7914	chrom_IV_1303612_1303859
_7915	chrom_IV_1303855_1303864
_7916	chrom_IV_1303860_1303899
_7917	chrom_IV_1303895_1304138
_7918	chrom_IV_1304134_1304243
_7919	chrom_IV_1304239_1304462
_7920	chrom_IV_1304458_1304485
_7921	chrom_IV_1304481_1305211
_7922	chrom_IV_1305207_1305253
_7923	chrom_IV_1305249_1305396
_7924	chrom_IV_1305392_1305426
_7925	chrom_IV_1305422_1306422
_7926	chrom_IV_1306418_1307315
_7927	chrom_IV_1307311_1308777
_7928	chrom_IV_1308773_1309227
_7929	chrom_IV_1309223_1310533
_7930	chrom_IV_1310529_1310966
_7931	chrom_IV_1310962_1311044
_7932	chrom_IV_1311040_1311080
_7933	chrom_IV_1311076_1311365
_7934	chrom_IV_1311361_1311741
_7935	chrom_IV_1311737_1312000
_7936	chrom_IV_1311996_1312129
_7937	chrom_IV_1312125_1312149
_7938	chrom_IV_1312145_1312842
_7939	chrom_IV_1312838_1313121
_7940	chrom_IV_1313117_1313353
_7941	chrom_IV_1313349_1313693
_7942	chrom_IV_1313689_1313766
_7943	chrom_IV_1313762_1314064
_7944	chrom_IV_1314060_1314157
_7945	chrom_IV_1314153_1314618
_7946	chrom_IV_1314614_1315339
_7947	chrom_IV_1315335_1316077
_7948	chrom_IV_1316073_1316217
_7949	chrom_IV_1316213_1316263
_7950	chrom_IV_1316259_1316627
_7951	chrom_IV_1316623_1317318
_7952	chrom_IV_1317314_1317327
_7953	chrom_IV_1317323_1317420
_7954	chrom_IV_1317416_1317564
_7955	chrom_IV_1317560_1317690
_7956	chrom_IV_1317686_1317750
_7957	chrom_IV_1317746_1317994
_7958	chrom_IV_1317990_1318191
_7959	chrom_IV_1318187_1318362
_7960	chrom_IV_1318358_1318625
_7961	chrom_IV_1318621_1318913
_7962	chrom_IV_1318909_1320125
_7963	chrom_IV_1320121_1320430
_7964	chrom_IV_1320426_1320461
_7965	chrom_IV_1320457_1321062
_7966	chrom_IV_1321058_1321267
_7967	chrom_IV_1321263_1321554
_7968	chrom_IV_1321550_1321701
_7969	chrom_IV_1321697_1321711
_7970	chrom_IV_1321707_1321849
_7971	chrom_IV_1321845_1321885
_7972	chrom_IV_1321881_1322263
_7973	chrom_IV_1322259_1322561
_7974	chrom_IV_1322557_1323331
_7975	chrom_IV_1323327_1323815
_7976	chrom_IV_1323811_1323868
_7977	chrom_IV_1323864_1324007
_7978	chrom_IV_1324003_1324117
_7979	chrom_IV_1324113_1324780
_7980	chrom_IV_1324776_1325253
_7981	chrom_IV_1325249_1325259
_7982	chrom_IV_1325255_1325279
_7983	chrom_IV_1325275_1325331
_7984	chrom_IV_1325327_1325455
_7985	chrom_IV_1325451_1325846
_7986	chrom_IV_1325842_1326076
_7987	chrom_IV_1326072_1326367
_7988	chrom_IV_1326363_1326504
_7989	chrom_IV_1326500_1326650
_7990	chrom_IV_1326646_1327030
_7991	chrom_IV_1327026_1327169
_7992	chrom_IV_1327165_1327235
_7993	chrom_IV_1327231_1327796
_7994	chrom_IV_1327792_1327829
_7995	chrom_IV_1327825_1328000
_7996	chrom_IV_1327996_1329251
_7997	chrom_IV_1329247_1329429
_7998	chrom_IV_1329425_1329628
_7999	chrom_IV_1329624_1330015
_8000	chrom_IV_1330011_1330241
_8001	chrom_IV_1330237_1330649
_8002	chrom_IV_1330645_1330746
_8003	chrom_IV_1330742_1331682
_8004	chrom_IV_1331678_1331799
_8005	chrom_IV_1331795_1331983
_8006	chrom_IV_1331979_1332009
_8007	chrom_IV_1332005_1332027
_8008	chrom_IV_1332023_1332528
_8009	chrom_IV_1332524_1332957
_8010	chrom_IV_1332953_1333063
_8011	chrom_IV_1333059_1333277
_8012	chrom_IV_1333273_1333478
_8013	chrom_IV_1333474_1334422
_8014	chrom_IV_1334418_1334811
_8015	chrom_IV_1334807_1334906
_8016	chrom_IV_1334902_1335042
_8017	chrom_IV_1335038_1335081
_8018	chrom_IV_1335077_1335217
_8019	chrom_IV_1335213_1335492
_8020	chrom_IV_1335488_1335570
_8021	chrom_IV_1335566_1335957
_8022	chrom_IV_1335953_1336205
_8023	chrom_IV_1336201_1336277
_8024	chrom_IV_1336273_1336616
_8025	chrom_IV_1336612_1337713
_8026	chrom_IV_1337709_1337989
_8027	chrom_IV_1337985_1338211
_8028	chrom_IV_1338207_1338302
_8029	chrom_IV_1338298_1338458
_8030	chrom_IV_1338454_1340172
_8031	chrom_IV_1340168_1340200
_8032	chrom_IV_1340196_1340215
_8033	chrom_IV_1340211_1341336
_8034	chrom_IV_1341332_1341869
_8035	chrom_IV_1341865_1342701
_8036	chrom_IV_1342697_1343007
_8037	chrom_IV_1343003_1343095
_8038	chrom_IV_1343091_1343685
_8039	chrom_IV_1343681_1344005
_8040	chrom_IV_1344001_1344044
_8041	chrom_IV_1344040_1344099
_8042	chrom_IV_1344095_1344884
_8043	chrom_IV_1344880_1345980
_8044	chrom_IV_1345976_1346139
_8045	chrom_IV_1346135_1346518
_8046	chrom_IV_1346514_1346690
_8047	chrom_IV_1346686_1346784
_8048	chrom_IV_1346780_1347228
_8049	chrom_IV_1347224_1347327
_8050	chrom_IV_1347323_1347831
_8051	chrom_IV_1347827_1347929
_8052	chrom_IV_1347925_1347986
_8053	chrom_IV_1347982_1348316
_8054	chrom_IV_1348312_1348633
_8055	chrom_IV_1348629_1348772
_8056	chrom_IV_1348768_1349072
_8057	chrom_IV_1349068_1349468
_8058	chrom_IV_1349464_1349726
_8059	chrom_IV_1349722_1349786
_8060	chrom_IV_1349782_1349828
_8061	chrom_IV_1349824_1349865
_8062	chrom_IV_1349861_1349955
_8063	chrom_IV_1349951_1350086
_8064	chrom_IV_1350082_1350285
_8065	chrom_IV_1350281_1350470
_8066	chrom_IV_1350466_1351917
_8067	chrom_IV_1351913_1352126
_8068	chrom_IV_1352122_1352224
_8069	chrom_IV_1352220_1352796
_8070	chrom_IV_1352792_1353306
_8071	chrom_IV_1353302_1353473
_8072	chrom_IV_1353469_1353510
_8073	chrom_IV_1353506_1353680
_8074	chrom_IV_1353676_1354122
_8075	chrom_IV_1354118_1354320
_8076	chrom_IV_1354316_1354383
_8077	chrom_IV_1354379_1354653
_8078	chrom_IV_1354649_1354997
_8079	chrom_IV_1354993_1355350
_8080	chrom_IV_1355346_1357625
_8081	chrom_IV_1357621_1357760
_8082	chrom_IV_1357756_1357844
_8083	chrom_IV_1357840_1359017
_8084	chrom_IV_1359013_1359333
_8085	chrom_IV_1359329_1359759
_8086	chrom_IV_1359755_1360442
_8087	chrom_IV_1360438_1361144
_8088	chrom_IV_1361140_1361328
_8089	chrom_IV_1361324_1362296
_8090	chrom_IV_1362292_1362341
_8091	chrom_IV_1362337_1362347
_8092	chrom_IV_1362343_1362540
_8093	chrom_IV_1362536_1362770
_8094	chrom_IV_1362766_1362819
_8095	chrom_IV_1362815_1363509
_8096	chrom_IV_1363505_1363890
_8097	chrom_IV_1363886_1364109
_8098	chrom_IV_1364105_1364381
_8099	chrom_IV_1364377_1364534
_8100	chrom_IV_1364530_1364817
_8101	chrom_IV_1364813_1365474
_8102	chrom_IV_1365470_1365843
_8103	chrom_IV_1365839_1365936
_8104	chrom_IV_1365932_1366032
_8105	chrom_IV_1366028_1367555
_8106	chrom_IV_1367551_1367591
_8107	chrom_IV_1367587_1367624
_8108	chrom_IV_1367620_1367701
_8109	chrom_IV_1367697_1368131
_8110	chrom_IV_1368127_1368379
_8111	chrom_IV_1368375_1368501
_8112	chrom_IV_1368497_1368508
_8113	chrom_IV_1368504_1368720
_8114	chrom_IV_1368716_1369537
_8115	chrom_IV_1369533_1369930
_8116	chrom_IV_1369926_1369941
_8117	chrom_IV_1369937_1370283
_8118	chrom_IV_1370279_1370373
_8119	chrom_IV_1370369_1370757
_8120	chrom_IV_1370753_1371215
_8121	chrom_IV_1371211_1371738
_8122	chrom_IV_1371734_1371891
_8123	chrom_IV_1371887_1372218
_8124	chrom_IV_1372214_1372403
_8125	chrom_IV_1372399_1372605
_8126	chrom_IV_1372601_1372737
_8127	chrom_IV_1372733_1372986
_8128	chrom_IV_1372982_1373478
_8129	chrom_IV_1373474_1373666
_8130	chrom_IV_1373662_1373781
_8131	chrom_IV_1373777_1373799
_8132	chrom_IV_1373795_1374116
_8133	chrom_IV_1374112_1374217
_8134	chrom_IV_1374213_1374519
_8135	chrom_IV_1374515_1374626
_8136	chrom_IV_1374622_1375053
_8137	chrom_IV_1375049_1375248
_8138	chrom_IV_1375244_1375428
_8139	chrom_IV_1375424_1375475
_8140	chrom_IV_1375471_1376349
_8141	chrom_IV_1376345_1376386
_8142	chrom_IV_1376382_1376793
_8143	chrom_IV_1376789_1376889
_8144	chrom_IV_1376885_1377078
_8145	chrom_IV_1377074_1377096
_8146	chrom_IV_1377092_1377159
_8147	chrom_IV_1377155_1377321
_8148	chrom_IV_1377317_1377762
_8149	chrom_IV_1377758_1377980
_8150	chrom_IV_1377976_1378023
_8151	chrom_IV_1378019_1378229
_8152	chrom_IV_1378225_1378926
_8153	chrom_IV_1378922_1379184
_8154	chrom_IV_1379180_1379332
_8155	chrom_IV_1379328_1379599
_8156	chrom_IV_1379595_1380057
_8157	chrom_IV_1380053_1380086
_8158	chrom_IV_1380082_1380592
_8159	chrom_IV_1380588_1381414
_8160	chrom_IV_1381410_1381656
_8161	chrom_IV_1381652_1381831
_8162	chrom_IV_1381827_1382029
_8163	chrom_IV_1382025_1382044
_8164	chrom_IV_1382040_1382187
_8165	chrom_IV_1382183_1382334
_8166	chrom_IV_1382330_1382606
_8167	chrom_IV_1382602_1382979
_8168	chrom_IV_1382975_1383078
_8169	chrom_IV_1383074_1383175
_8170	chrom_IV_1383171_1383856
_8171	chrom_IV_1383852_1383869
_8172	chrom_IV_1383865_1383925
_8173	chrom_IV_1383921_1383944
_8174	chrom_IV_1383940_1384175
_8175	chrom_IV_1384171_1384183
_8176	chrom_IV_1384179_1384664
_8177	chrom_IV_1384660_1384864
_8178	chrom_IV_1384860_1385124
_8179	chrom_IV_1385120_1385577
_8180	chrom_IV_1385573_1385701
_8181	chrom_IV_1385697_1386375
_8182	chrom_IV_1386371_1386566
_8183	chrom_IV_1386562_1386928
_8184	chrom_IV_1386924_1387065
_8185	chrom_IV_1387061_1387110
_8186	chrom_IV_1387106_1387169
_8187	chrom_IV_1387165_1387417
_8188	chrom_IV_1387413_1387655
_8189	chrom_IV_1387651_1387674
_8190	chrom_IV_1387670_1387916
_8191	chrom_IV_1387912_1388603
_8192	chrom_IV_1388599_1389201
_8193	chrom_IV_1389197_1390424
_8194	chrom_IV_1390420_1390926
_8195	chrom_IV_1390922_1391162
_8196	chrom_IV_1391158_1391756
_8197	chrom_IV_1391752_1392041
_8198	chrom_IV_1392037_1392934
_8199	chrom_IV_1392930_1392980
_8200	chrom_IV_1392976_1393475
_8201	chrom_IV_1393471_1393512
_8202	chrom_IV_1393508_1393817
_8203	chrom_IV_1393813_1393844
_8204	chrom_IV_1393840_1393870
_8205	chrom_IV_1393866_1394346
_8206	chrom_IV_1394342_1394896
_8207	chrom_IV_1394892_1396717
_8208	chrom_IV_1396713_1396856
_8209	chrom_IV_1396852_1397547
_8210	chrom_IV_1397543_1397692
_8211	chrom_IV_1397688_1397886
_8212	chrom_IV_1397882_1398428
_8213	chrom_IV_1398424_1398596
_8214	chrom_IV_1398592_1398686
_8215	chrom_IV_1398682_1398718
_8216	chrom_IV_1398714_1398956
_8217	chrom_IV_1398952_1399460
_8218	chrom_IV_1399456_1399919
_8219	chrom_IV_1399915_1400504
_8220	chrom_IV_1400500_1400591
_8221	chrom_IV_1400587_1400637
_8222	chrom_IV_1400633_1401098
_8223	chrom_IV_1401094_1401158
_8224	chrom_IV_1401154_1402010
_8225	chrom_IV_1402006_1402229
_8226	chrom_IV_1402225_1402783
_8227	chrom_IV_1402779_1403842
_8228	chrom_IV_1403838_1404126
_8229	chrom_IV_1404122_1404517
_8230	chrom_IV_1404513_1405006
_8231	chrom_IV_1405002_1405184
_8232	chrom_IV_1405180_1405633
_8233	chrom_IV_1405629_1405642
_8234	chrom_IV_1405638_1405879
_8235	chrom_IV_1405875_1405965
_8236	chrom_IV_1405961_1405976
_8237	chrom_IV_1405972_1407108
_8238	chrom_IV_1407104_1407547
_8239	chrom_IV_1407543_1407782
_8240	chrom_IV_1407778_1407928
_8241	chrom_IV_1407924_1408015
_8242	chrom_IV_1408011_1408033
_8243	chrom_IV_1408029_1408295
_8244	chrom_IV_1408291_1408857
_8245	chrom_IV_1408853_1408883
_8246	chrom_IV_1408879_1408919
_8247	chrom_IV_1408915_1409044
_8248	chrom_IV_1409040_1409050
_8249	chrom_IV_1409046_1409056
_8250	chrom_IV_1409052_1409062
_8251	chrom_IV_1409058_1409068
_8252	chrom_IV_1409064_1409483
_8253	chrom_IV_1409479_1409505
_8254	chrom_IV_1409501_1409799
_8255	chrom_IV_1409795_1409854
_8256	chrom_IV_1409850_1410083
_8257	chrom_IV_1410079_1410660
_8258	chrom_IV_1410656_1410778
_8259	chrom_IV_1410774_1410820
_8260	chrom_IV_1410816_1411009
_8261	chrom_IV_1411005_1411791
_8262	chrom_IV_1411787_1412856
_8263	chrom_IV_1412852_1412905
_8264	chrom_IV_1412901_1413552
_8265	chrom_IV_1413548_1413664
_8266	chrom_IV_1413660_1413748
_8267	chrom_IV_1413744_1413804
_8268	chrom_IV_1413800_1413905
_8269	chrom_IV_1413901_1414569
_8270	chrom_IV_1414565_1414977
_8271	chrom_IV_1414973_1415057
_8272	chrom_IV_1415053_1415606
_8273	chrom_IV_1415602_1415796
_8274	chrom_IV_1415792_1415805
_8275	chrom_IV_1415801_1416516
_8276	chrom_IV_1416512_1416725
_8277	chrom_IV_1416721_1416817
_8278	chrom_IV_1416813_1416946
_8279	chrom_IV_1416942_1417271
_8280	chrom_IV_1417267_1417463
_8281	chrom_IV_1417459_1417549
_8282	chrom_IV_1417545_1417619
_8283	chrom_IV_1417615_1417764
_8284	chrom_IV_1417760_1418073
_8285	chrom_IV_1418069_1418251
_8286	chrom_IV_1418247_1418552
_8287	chrom_IV_1418548_1418950
_8288	chrom_IV_1418946_1419135
_8289	chrom_IV_1419131_1419243
_8290	chrom_IV_1419239_1419264
_8291	chrom_IV_1419260_1419681
_8292	chrom_IV_1419677_1419822
_8293	chrom_IV_1419818_1419995
_8294	chrom_IV_1419991_1420160
_8295	chrom_IV_1420156_1420171
_8296	chrom_IV_1420167_1420205
_8297	chrom_IV_1420201_1420705
_8298	chrom_IV_1420701_1420775
_8299	chrom_IV_1420771_1421306
_8300	chrom_IV_1421302_1421460
_8301	chrom_IV_1421456_1422009
_8302	chrom_IV_1422005_1422205
_8303	chrom_IV_1422201_1422857
_8304	chrom_IV_1422853_1422911
_8305	chrom_IV_1422907_1423186
_8306	chrom_IV_1423182_1423268
_8307	chrom_IV_1423264_1424035
_8308	chrom_IV_1424031_1424376
_8309	chrom_IV_1424372_1424749
_8310	chrom_IV_1424745_1424916
_8311	chrom_IV_1424912_1424985
_8312	chrom_IV_1424981_1425048
_8313	chrom_IV_1425044_1425234
_8314	chrom_IV_1425230_1425363
_8315	chrom_IV_1425359_1425709
_8316	chrom_IV_1425705_1426296
_8317	chrom_IV_1426292_1426622
_8318	chrom_IV_1426618_1426691
_8319	chrom_IV_1426687_1427147
_8320	chrom_IV_1427143_1427798
_8321	chrom_IV_1427794_1427949
_8322	chrom_IV_1427945_1428082
_8323	chrom_IV_1428078_1428394
_8324	chrom_IV_1428390_1428891
_8325	chrom_IV_1428887_1428966
_8326	chrom_IV_1428962_1429594
_8327	chrom_IV_1429590_1429827
_8328	chrom_IV_1429823_1429963
_8329	chrom_IV_1429959_1430029
_8330	chrom_IV_1430025_1430044
_8331	chrom_IV_1430040_1430541
_8332	chrom_IV_1430537_1431084
_8333	chrom_IV_1431080_1431519
_8334	chrom_IV_1431515_1431579
_8335	chrom_IV_1431575_1431742
_8336	chrom_IV_1431738_1431865
_8337	chrom_IV_1431861_1432015
_8338	chrom_IV_1432011_1432048
_8339	chrom_IV_1432044_1432358
_8340	chrom_IV_1432354_1432781
_8341	chrom_IV_1432777_1432801
_8342	chrom_IV_1432797_1432887
_8343	chrom_IV_1432883_1433118
_8344	chrom_IV_1433114_1433147
_8345	chrom_IV_1433143_1433574
_8346	chrom_IV_1433570_1433614
_8347	chrom_IV_1433610_1433787
_8348	chrom_IV_1433783_1433869
_8349	chrom_IV_1433865_1434023
_8350	chrom_IV_1434019_1435431
_8351	chrom_IV_1435427_1436001
_8352	chrom_IV_1435997_1436353
_8353	chrom_IV_1436349_1436374
_8354	chrom_IV_1436370_1437658
_8355	chrom_IV_1437654_1437733
_8356	chrom_IV_1437729_1438290
_8357	chrom_IV_1438286_1438548
_8358	chrom_IV_1438544_1439000
_8359	chrom_IV_1438996_1439451
_8360	chrom_IV_1439447_1439552
_8361	chrom_IV_1439548_1439654
_8362	chrom_IV_1439650_1439932
_8363	chrom_IV_1439928_1440136
_8364	chrom_IV_1440132_1440662
_8365	chrom_IV_1440658_1441369
_8366	chrom_IV_1441365_1441544
_8367	chrom_IV_1441540_1442006
_8368	chrom_IV_1442002_1442250
_8369	chrom_IV_1442246_1442391
_8370	chrom_IV_1442387_1442855
_8371	chrom_IV_1442851_1442918
_8372	chrom_IV_1442914_1444131
_8373	chrom_IV_1444127_1444455
_8374	chrom_IV_1444451_1444836
_8375	chrom_IV_1444832_1444875
_8376	chrom_IV_1444871_1444908
_8377	chrom_IV_1444904_1445120
_8378	chrom_IV_1445116_1445130
_8379	chrom_IV_1445126_1445136
_8380	chrom_IV_1445132_1445244
_8381	chrom_IV_1445240_1445868
_8382	chrom_IV_1445864_1446692
_8383	chrom_IV_1446688_1447042
_8384	chrom_IV_1447038_1447047
_8385	chrom_IV_1447043_1447314
_8386	chrom_IV_1447310_1448676
_8387	chrom_IV_1448672_1448941
_8388	chrom_IV_1448937_1449151
_8389	chrom_IV_1449147_1449516
_8390	chrom_IV_1449512_1449817
_8391	chrom_IV_1449813_1449847
_8392	chrom_IV_1449843_1449862
_8393	chrom_IV_1449858_1450024
_8394	chrom_IV_1450020_1450332
_8395	chrom_IV_1450328_1451648
_8396	chrom_IV_1451644_1452214
_8397	chrom_IV_1452210_1453090
_8398	chrom_IV_1453086_1453236
_8399	chrom_IV_1453232_1453628
_8400	chrom_IV_1453624_1454354
_8401	chrom_IV_1454350_1454650
_8402	chrom_IV_1454646_1454874
_8403	chrom_IV_1454870_1455004
_8404	chrom_IV_1455000_1455174
_8405	chrom_IV_1455170_1455865
_8406	chrom_IV_1455861_1456282
_8407	chrom_IV_1456278_1456693
_8408	chrom_IV_1456689_1457727
_8409	chrom_IV_1457723_1458515
_8410	chrom_IV_1458511_1459059
_8411	chrom_IV_1459055_1459489
_8412	chrom_IV_1459485_1460385
_8413	chrom_IV_1460381_1460834
_8414	chrom_IV_1460830_1460850
_8415	chrom_IV_1460846_1461153
_8416	chrom_IV_1461149_1461674
_8417	chrom_IV_1461670_1462754
_8418	chrom_IV_1462750_1462766
_8419	chrom_IV_1462762_1462865
_8420	chrom_IV_1462861_1463046
_8421	chrom_IV_1463042_1463086
_8422	chrom_IV_1463082_1463099
_8423	chrom_IV_1463095_1463424
_8424	chrom_IV_1463420_1463511
_8425	chrom_IV_1463507_1463650
_8426	chrom_IV_1463646_1463762
_8427	chrom_IV_1463758_1463881
_8428	chrom_IV_1463877_1463936
_8429	chrom_IV_1463932_1463990
_8430	chrom_IV_1463986_1464301
_8431	chrom_IV_1464297_1464310
_8432	chrom_IV_1464306_1464779
_8433	chrom_IV_1464775_1464971
_8434	chrom_IV_1464967_1465131
_8435	chrom_IV_1465127_1465213
_8436	chrom_IV_1465209_1465295
_8437	chrom_IV_1465291_1465322
_8438	chrom_IV_1465318_1465672
